User,Dificulty,F1-Macro,F1-Weighted,F1-micro,Macro-AUC,Micro-AUC
02A8,easy,0.7321428571428572,0.9387755102040818,0.8857142857142857,0.9777777777777779,0.9428571428571428
402E,easy,0.8,1.0,1.0,1.0,1.0
52EA,easy,0.75,1.0,1.0,1.0,1.0
682A,easy,0.5739130434782609,0.891304347826087,0.8214285714285714,0.8461538461538461,0.9107142857142857
9FE9,easy,0.8,1.0,1.0,1.0,1.0
F176,easy,0.6,0.9761904761904762,0.9761904761904762,0.875,0.9880952380952381
02A8,medium,0.4868421052631579,0.8691729323308272,0.8285714285714286,0.8166666666666667,0.9142857142857144
402E,medium,0.8,1.0,1.0,1.0,1.0
52EA,medium,0.5,0.9642857142857143,0.9642857142857143,0.8333333333333333,0.9821428571428572
682A,medium,0.5739130434782609,0.891304347826087,0.8214285714285714,0.8427601809954751,0.9096513605442177
9FE9,medium,0.8,1.0,1.0,1.0,1.0
F176,medium,0.5599999999999999,0.8904761904761904,0.8333333333333334,0.8333333333333334,0.9120370370370371
02A8,hard,0.14285714285714288,0.48979591836734704,0.34285714285714286,0.5666666666666667,0.6714285714285715
402E,hard,0.5302564102564102,0.9006105006105006,0.8809523809523809,0.8087121212121212,0.9404761904761905
52EA,hard,0.1388888888888889,0.5158730158730159,0.35714285714285715,0.5641025641025641,0.6785714285714286
682A,hard,0.24800000000000005,0.4778571428571429,0.3392857142857143,0.6133107088989441,0.6676764455782314
9FE9,hard,0.6566666666666667,0.855952380952381,0.7857142857142857,0.8671449829931974,0.8860544217687074
F176,hard,0.34581752186107906,0.5078684171243155,0.42857142857142855,0.6723122074684575,0.7052154195011339
